,OverallRating,pros
52,3.0,"[ ' [ ' , ' Benefits ' , ' top ' , ' notch ' , ' Perks ' , ' tower ' , ' holiday ' , ' party ' , ' impressive ' , ' Sales ' , ' tactic ' , ' strategy ' , ' great ' , ' growth ' , ' even ' , ' experienced ' , ' rep ' , ' Youll ' , ' meet ' , ' talented ' , ' sale ' , ' rep ' , ' wide ' , ' variance ' , ' style ' , ' ESPP ' , ' generous ' , ' maternitypaternity ' , ' leave ' , ' Although ' , ' affect ' , ' likelihood ' , ' promoted ' , ' ] ' ]"
53,5.0,"[ ' [ ' , ' Company ' , ' really ' , ' great ' , ' working ' , ' culture ' , ' also ' , ' amazing ' , ' ] ' ]"
54,5.0,"[ ' [ ' , ' PTO ' , ' Salary ' , ' Culture ' , ' CEO ' , ' Character ' , ' ] ' ]"
55,5.0,"[ ' [ ' , ' Good ' , ' place ' , ' work ' , ' treat ' , ' well ' , ' ] ' ]"
56,5.0,"[ ' [ ' , ' Positive ' , ' culture ' , ' supportive ' , ' management ' , ' ton ' , ' training ' , ' ] ' ]"
57,5.0,"[ ' [ ' , ' Theres ' , ' room ' , ' jerk ' , ' environment ' , ' positivity ' , ' learning ' , ' celebrating ' , ' success ' , ' weed ' , ' bad ' , ' behavior ' , ' actor ' , ' ] ' ]"
58,5.0,"[ ' [ ' , ' Love ' , ' great ' , ' talent ' , ' ] ' ]"
59,5.0,"[ ' [ ' , ' Lots ' , ' career ' , ' development ' , ' learning ' , ' opportunity ' , ' ] ' ]"
60,5.0,"[ ' [ ' , ' Unparalleled ' , ' team ' , ' benefit ' , ' overall ' , ' company ' , ' culture ' , ' Tons ' , ' room ' , ' upward ' , ' mobilitygrowth ' , ' Worklife ' , ' balance ' , ' overall ' , ' flexibility ' , ' Leadership ' , ' actually ' , ' care ' , ' wellbeing ' , ' taking ' , ' care ' , ' employee ' , ' ] ' ]"
61,5.0,"[ ' [ ' , ' great ' , ' work ' , ' ] ' ]"
62,3.0,"[ ' [ ' , ' Benefits ' , ' top ' , ' notch ' , ' Perks ' , ' tower ' , ' holiday ' , ' party ' , ' impressive ' , ' Sales ' , ' tactic ' , ' strategy ' , ' great ' , ' growth ' , ' even ' , ' experienced ' , ' rep ' , ' Youll ' , ' meet ' , ' talented ' , ' sale ' , ' rep ' , ' wide ' , ' variance ' , ' style ' , ' ESPP ' , ' generous ' , ' maternitypaternity ' , ' leave ' , ' Although ' , ' affect ' , ' likelihood ' , ' promoted ' , ' ] ' ]"
63,5.0,"[ ' [ ' , ' Company ' , ' really ' , ' great ' , ' working ' , ' culture ' , ' also ' , ' amazing ' , ' ] ' ]"
64,5.0,"[ ' [ ' , ' PTO ' , ' Salary ' , ' Culture ' , ' CEO ' , ' Character ' , ' ] ' ]"
65,5.0,"[ ' [ ' , ' Good ' , ' place ' , ' work ' , ' treat ' , ' well ' , ' ] ' ]"
66,5.0,"[ ' [ ' , ' Great ' , ' tech ' , ' stack ' , ' company ' , ' ] ' ]"
67,5.0,"[ ' [ ' , ' Positive ' , ' culture ' , ' supportive ' , ' management ' , ' ton ' , ' training ' , ' ] ' ]"
68,5.0,"[ ' [ ' , ' Theres ' , ' room ' , ' jerk ' , ' environment ' , ' positivity ' , ' learning ' , ' celebrating ' , ' success ' , ' weed ' , ' bad ' , ' behavior ' , ' actor ' , ' ] ' ]"
69,5.0,"[ ' [ ' , ' Love ' , ' great ' , ' talent ' , ' ] ' ]"
70,5.0,"[ ' [ ' , ' Unparalleled ' , ' team ' , ' benefit ' , ' overall ' , ' company ' , ' culture ' , ' Tons ' , ' room ' , ' upward ' , ' mobilitygrowth ' , ' Worklife ' , ' balance ' , ' overall ' , ' flexibility ' , ' Leadership ' , ' actually ' , ' care ' , ' wellbeing ' , ' taking ' , ' care ' , ' employee ' , ' ] ' ]"
71,5.0,"[ ' [ ' , ' great ' , ' work ' , ' ] ' ]"
72,3.0,"[ ' [ ' , ' Benefits ' , ' top ' , ' notch ' , ' Perks ' , ' tower ' , ' holiday ' , ' party ' , ' impressive ' , ' Sales ' , ' tactic ' , ' strategy ' , ' great ' , ' growth ' , ' even ' , ' experienced ' , ' rep ' , ' Youll ' , ' meet ' , ' talented ' , ' sale ' , ' rep ' , ' wide ' , ' variance ' , ' style ' , ' ESPP ' , ' generous ' , ' maternitypaternity ' , ' leave ' , ' Although ' , ' affect ' , ' likelihood ' , ' promoted ' , ' ] ' ]"
73,5.0,"[ ' [ ' , ' Company ' , ' really ' , ' great ' , ' working ' , ' culture ' , ' also ' , ' amazing ' , ' ] ' ]"
74,5.0,"[ ' [ ' , ' PTO ' , ' Salary ' , ' Culture ' , ' CEO ' , ' Character ' , ' ] ' ]"
75,5.0,"[ ' [ ' , ' Good ' , ' place ' , ' work ' , ' treat ' , ' well ' , ' ] ' ]"
76,5.0,"[ ' [ ' , ' Great ' , ' tech ' , ' stack ' , ' company ' , ' ] ' ]"
77,5.0,"[ ' [ ' , ' Positive ' , ' culture ' , ' supportive ' , ' management ' , ' ton ' , ' training ' , ' ] ' ]"
78,5.0,"[ ' [ ' , ' Theres ' , ' room ' , ' jerk ' , ' environment ' , ' positivity ' , ' learning ' , ' celebrating ' , ' success ' , ' weed ' , ' bad ' , ' behavior ' , ' actor ' , ' ] ' ]"
79,5.0,"[ ' [ ' , ' Love ' , ' great ' , ' talent ' , ' ] ' ]"
80,5.0,"[ ' [ ' , ' Unparalleled ' , ' team ' , ' benefit ' , ' overall ' , ' company ' , ' culture ' , ' Tons ' , ' room ' , ' upward ' , ' mobilitygrowth ' , ' Worklife ' , ' balance ' , ' overall ' , ' flexibility ' , ' Leadership ' , ' actually ' , ' care ' , ' wellbeing ' , ' taking ' , ' care ' , ' employee ' , ' ] ' ]"
81,5.0,"[ ' [ ' , ' great ' , ' work ' , ' ] ' ]"
